word	type	count	position	team
many	word	45368	N/A	N/A
least	word	45343	N/A	N/A
past	word	45252	N/A	N/A
lineup	word	45137	N/A	N/A
starter	word	44706	N/A	N/A
week	word	44596	N/A	N/A
far	word	44530	N/A	N/A
spring	word	44291	N/A	N/A
went	word	44129	N/A	N/A
double	word	44027	N/A	N/A
return	word	43815	N/A	N/A
position	word	43382	N/A	N/A
won	word	43138	N/A	N/A
ve	word	43048	N/A	N/A
star	word	43011	N/A	N/A
line	word	42881	N/A	N/A
come	word	42442	N/A	N/A
move	word	42201	N/A	N/A
put	word	42042	N/A	N/A
already	word	41985	N/A	N/A
agent	word	41572	N/A	N/A
hitter	word	41209	N/A	N/A
night	word	41143	N/A	N/A
don	word	41087	N/A	N/A
new	word	40765	N/A	N/A
these	word	40636	N/A	N/A
again	word	40565	N/A	N/A
rbi	word	40316	N/A	N/A
playing	word	40294	N/A	N/A
million	word	40197	N/A	N/A
work	word	40152	N/A	N/A
because	word	39963	N/A	N/A
didn	word	39541	N/A	N/A
pitched	word	39380	N/A	N/A
option	word	39358	N/A	N/A
man	word	39212	N/A	N/A
point	word	39176	N/A	N/A
came	word	39014	N/A	N/A
prospects	word	38779	N/A	N/A
coming	word	38377	N/A	N/A
bat	word	38376	N/A	N/A
lead	word	38024	N/A	N/A
early	word	37999	N/A	N/A
seven	word	37987	N/A	N/A
played	word	37508	N/A	N/A
yet	word	37455	N/A	N/A
part	word	37210	N/A	N/A
getting	word	37126	N/A	N/A
great	word	36868	N/A	N/A
record	word	36693	N/A	N/A
things	word	36608	N/A	N/A
really	word	36531	N/A	N/A
between	word	36459	N/A	N/A
manager	word	36326	N/A	N/A
signed	word	36301	N/A	N/A
power	word	36275	N/A	N/A
lot	word	36170	N/A	N/A
market	word	35800	N/A	N/A
think	word	35765	N/A	N/A
ops	word	35703	N/A	N/A
bb	word	35262	N/A	N/A
isn	word	35165	N/A	N/A
handed	word	35116	N/A	N/A
doesn	word	34896	N/A	N/A
looking	word	34787	N/A	N/A
m	word	34640	N/A	N/A
enough	word	34591	N/A	N/A
outfield	word	34566	N/A	N/A
level	word	34176	N/A	N/A
each	word	34165	N/A	N/A
making	word	34153	N/A	N/A
given	word	34096	N/A	N/A
too	word	33971	N/A	N/A
able	word	33904	N/A	N/A
per	word	33765	N/A	N/A
allowed	word	33704	N/A	N/A
help	word	33513	N/A	N/A
same	word	33485	N/A	N/A
numbers	word	33445	N/A	N/A
pick	word	33316	N/A	N/A
world	word	33249	N/A	N/A
today	word	33238	N/A	N/A
strikeout	word	33045	N/A	N/A
deadline	word	32765	N/A	N/A
single	word	32739	N/A	N/A
baseman	word	32674	N/A	N/A
catcher	word	32671	N/A	N/A
due	word	32423	N/A	N/A
organization	word	32317	N/A	N/A
draft	word	32315	N/A	N/A
give	word	32310	N/A	N/A
potential	word	32231	N/A	N/A
little	word	32016	N/A	N/A
having	word	31988	N/A	N/A
hander	word	31838	N/A	N/A
outfielder	word	31763	N/A	N/A
strong	word	31740	N/A	N/A
former	word	31714	N/A	N/A
winter	word	31671	N/A	N/A
every	word	31563	N/A	N/A
strikeouts	word	31559	N/A	N/A
shortstop	word	31159	N/A	N/A
walks	word	31057	N/A	N/A
half	word	30931	N/A	N/A
know	word	30919	N/A	N/A
hard	word	30723	N/A	N/A
bit	word	30716	N/A	N/A
month	word	30644	N/A	N/A
future	word	30561	N/A	N/A
center	word	30451	N/A	N/A
my	word	30414	N/A	N/A
let	word	30090	N/A	N/A
pitches	word	30057	N/A	N/A
behind	word	29880	N/A	N/A
until	word	29834	N/A	N/A
once	word	29734	N/A	N/A
does	word	29709	N/A	N/A
keep	word	29692	N/A	N/A
seems	word	29636	N/A	N/A
final	word	29619	N/A	N/A
solid	word	29594	N/A	N/A
role	word	29504	N/A	N/A
depth	word	29460	N/A	N/A
full	word	29366	N/A	N/A
despite	word	29011	N/A	N/A
overall	word	28991	N/A	N/A
chance	word	28988	N/A	N/A
away	word	28925	N/A	N/A
hitters	word	28925	N/A	N/A
offense	word	28837	N/A	N/A
options	word	28809	N/A	N/A
days	word	28801	N/A	N/A
front	word	28596	N/A	N/A
want	word	28592	N/A	N/A
late	word	28426	N/A	N/A
earned	word	28399	N/A	N/A
something	word	28373	N/A	N/A
agency	word	28320	N/A	N/A
place	word	28275	N/A	N/A
