word	type	count	position	team
the	word	4572970		
a	word	2116358		
to	word	1912219		
in	word	1664870		
and	word	1541315		
of	word	1440284		
##TEAM	word	1381329		
he	word	842478		
s	word	830535		
for	word	807335		
that	word	799701		
with	word	734810		
his	word	671888		
is	word	645675		
on	word	633972		
as	word	504251		
##LOC	word	495802		
it	word	481009		
be	word	470990		
at	word	441372		
this	word	440889		
was	word	424434		
has	word	414593		
but	word	397109		
season	word	395733		
have	word	357080		
t	word	301384		
year	word	295512		
they	word	279556		
will	word	274767		
an	word	267879		
out	word	256803		
are	word	255051		
from	word	252865		
one	word	247158		
not	word	225257		
up	word	224684		
two	word	219272		
their	word	216046		
team	word	213804		
him	word	212248		
first	word	202455		
game	word	199679		
been	word	199584		
i	word	194392		
if	word	189538		
would	word	188696		
all	word	188313		
more	word	183716		
could	word	173111		
last	word	169058		
by	word	167934		
who	word	166072		
league	word	165493		
had	word	163289		
just	word	163001		
time	word	160304		
there	word	158411		
or	word	156197		
after	word	156058		
over	word	151129		
can	word	146619		
innings	word	144576		
three	word	144136		
we	word	139816		
some	word	138151		
also	word	136468		
back	word	136420		
games	word	134678		
runs	word	133288		
while	word	132618		
so	word	130890		
when	word	128252		
you	word	126689		
only	word	123053		
than	word	122494		
era	word	122451		
like	word	120569		
home	word	119644		
hit	word	116385		
right	word	116349		
off	word	115126		
run	word	114608		
what	word	111982		
against	word	109300		
now	word	108957		
into	word	108645		
players	word	108184		
get	word	106931		
trade	word	106650		
were	word	105972		
second	word	105600		
still	word	104079		
top	word	99339		
baseball	word	97926		
no	word	97430		
which	word	94364		
well	word	93792		
start	word	93714		
about	word	93199		
base	word	92991		
make	word	92810		
even	word	92462		
four	word	90155		
mlb	word	89385		
good	word	87021		
years	word	86912		
roster	word	86007		
free	word	85997		
best	word	85888		
most	word	83675		
career	word	83529		
going	word	83493		
left	word	83326		
may	word	83300		
big	word	83216		
player	word	82517		
mm	word	81857		
deal	word	81593		
since	word	81378		
day	word	80561		
inning	word	80039		
pitching	word	79556		
third	word	77366		
both	word	76887		
much	word	76506		
before	word	76392		
th	word	76333		
rotation	word	75666		
five	word	75183		
though	word	74928		
other	word	74874		
made	word	74512		
series	word	74115		
next	word	72073		
plate	word	71352		
should	word	70780		
bullpen	word	70768		
average	word	69724		
field	word	69324		
down	word	69022		
another	word	68492		
club	word	68366		
them	word	68033		
play	word	67980		
being	word	67977		
any	word	67356		
through	word	67250		
starting	word	66907		
do	word	66757		
those	word	66607		
however	word	65962		
how	word	64629		
see	word	64385		
ll	word	63624		
old	word	62802		
then	word	62403		
rate	word	62002		
pitcher	word	61863		
way	word	61690		
did	word	59754		
teams	word	59298		
better	word	59122		
need	word	58835		
likely	word	58124		
long	word	58011		
win	word	57383		
seasons	word	57189		
ball	word	57174		
offseason	word	57040		
hits	word	56999		
look	word	56358		
##LEAGUE	word	55975		
high	word	55044		
re	word	54909		
major	word	54793		
take	word	54590		
go	word	53790		
very	word	53407		
contract	word	53241		
prospect	word	53096		
six	word	52705		
pitch	word	52542		
hitting	word	51815		
end	word	51557		
starts	word	50521		
few	word	50015		
minor	word	49652		
triple	word	49494		
injury	word	49425		
k	word	49283		
d	word	49120		
fans	word	48747		
pitchers	word	48418		
list	word	48361		
during	word	48357		
young	word	48204		
got	word	47741		
said	word	47586		
here	word	47183		
around	word	47099		
where	word	46881		
walk	word	46605		
spot	word	46407		
appearances	word	46079		
might	word	45908		
batting	word	45552		
many	word	45368		
least	word	45343		
past	word	45252		
lineup	word	45137		
starter	word	44706		
week	word	44596		
far	word	44530		
spring	word	44291		
went	word	44129		
double	word	44027		
return	word	43815		
position	word	43382		
won	word	43138		
ve	word	43048		
star	word	43011		
line	word	42881		
come	word	42442		
move	word	42201		
put	word	42042		
already	word	41985		
agent	word	41572		
hitter	word	41209		
night	word	41143		
don	word	41087		
new	word	40765		
these	word	40636		
again	word	40565		
rbi	word	40316		
playing	word	40294		
million	word	40197		
work	word	40152		
because	word	39963		
didn	word	39541		
pitched	word	39380		
option	word	39358		
man	word	39212		
point	word	39176		
came	word	39014		
prospects	word	38779		
coming	word	38377		
bat	word	38376		
lead	word	38024		
early	word	37999		
seven	word	37987		
played	word	37508		
yet	word	37455		
part	word	37210		
getting	word	37126		
great	word	36868		
record	word	36693		
things	word	36608		
really	word	36531		
between	word	36459		
manager	word	36326		
signed	word	36301		
power	word	36275		
lot	word	36170		
market	word	35800		
think	word	35765		
ops	word	35703		
bb	word	35262		
isn	word	35165		
handed	word	35116		
doesn	word	34896		
looking	word	34787		
m	word	34640		
enough	word	34591		
outfield	word	34566		
level	word	34176		
each	word	34165		
making	word	34153		
given	word	34096		
too	word	33971		
able	word	33904		
per	word	33765		
allowed	word	33704		
help	word	33513		
same	word	33485		
numbers	word	33445		
pick	word	33316		
world	word	33249		
today	word	33238		
strikeout	word	33045		
deadline	word	32765		
single	word	32739		
baseman	word	32674		
catcher	word	32671		
due	word	32423		
organization	word	32317		
draft	word	32315		
give	word	32310		
potential	word	32231		
little	word	32016		
having	word	31988		
hander	word	31838		
outfielder	word	31763		
strong	word	31740		
former	word	31714		
winter	word	31671		
every	word	31563		
strikeouts	word	31559		
shortstop	word	31159		
walks	word	31057		
half	word	30931		
know	word	30919		
hard	word	30723		
bit	word	30716		
month	word	30644		
future	word	30561		
center	word	30451		
my	word	30414		
let	word	30090		
pitches	word	30057		
behind	word	29880		
until	word	29834		
once	word	29734		
does	word	29709		
keep	word	29692		
seems	word	29636		
final	word	29619		
solid	word	29594		
role	word	29504		
depth	word	29460		
full	word	29366		
despite	word	29011		
overall	word	28991		
chance	word	28988		
away	word	28925		
hitters	word	28925		
offense	word	28837		
options	word	28809		
days	word	28801		
front	word	28596		
want	word	28592		
late	word	28426		
earned	word	28399		
something	word	28373		
agency	word	28320		
place	word	28275		
training	word	28247		
set	word	28214		
reliever	word	28197		
never	word	27918		
among	word	27433		
signing	word	27418		
majors	word	27309		
times	word	27290		
round	word	27222		
above	word	27035		
injured	word	27008		
eight	word	26602		
nine	word	26325		
batters	word	26259		
recent	word	26167		
value	word	26095		
including	word	26078		
veteran	word	25957		
under	word	25954		
surgery	word	25749		
bats	word	25669		
opening	word	25615		
either	word	25613		
took	word	25469		
b	word	25412		
without	word	25259		
posted	word	25259		
defensive	word	25070		
expected	word	24906		
struck	word	24901		
short	word	24709		
closer	word	24609		
started	word	24519		
why	word	24472		
our	word	24448		
postseason	word	24420		
mark	word	24390		
less	word	24296		
matt	word	24182		
weeks	word	24086		
number	word	24062		
probably	word	24041		
find	word	23932		
wrc	word	23775		
sign	word	23669		
himself	word	23661		
staff	word	23598		
injuries	word	23542		
gave	word	23462		
jr	word	23442		
certainly	word	23327		
ryan	word	23261		
fastball	word	23226		
me	word	23112		
system	word	23033		
bases	word	23010		
course	word	22945		
hasn	word	22906		
performance	word	22795		
currently	word	22788		
term	word	22755		
john	word	22748		
perhaps	word	22638		
open	word	22586		
com	word	22436		
bottom	word	22397		
j	word	22390		
debut	word	22387		
wasn	word	22374		
fourth	word	22282		
say	word	22216		
arm	word	22175		
rookie	word	22165		
done	word	22148		
relief	word	22104		
july	word	22095		
score	word	22059		
such	word	22029		
seen	word	21858		
healthy	word	21795		
ip	word	21755		
possible	word	21729		
homers	word	21403		
its	word	21297		
according	word	21283		
whether	word	21278		
makes	word	21260		
