word	type	count	position	team
effective	word	7407	N/A	N/A
decent	word	7783	N/A	N/A
capable	word	7517	N/A	N/A
wonderful	word	772	N/A	N/A
upgrade	word	7170	N/A	N/A
favorite	word	6563	N/A	N/A
brilliant	word	1649	N/A	N/A
productive	word	6203	N/A	N/A
exciting	word	5463	N/A	N/A
happy	word	4808	N/A	N/A
cool	word	1768	N/A	N/A
promising	word	4989	N/A	N/A
stellar	word	3565	N/A	N/A
super	word	4050	N/A	N/A
bright	word	3703	N/A	N/A
encouraging	word	3392	N/A	N/A
fantastic	word	3162	N/A	N/A
ideal	word	3446	N/A	N/A
tremendous	word	3013	N/A	N/A
trust	word	3002	N/A	N/A
terrific	word	2568	N/A	N/A
respectable	word	2760	N/A	N/A
amazing	word	2421	N/A	N/A
miracle	word	787	N/A	N/A
unique	word	2510	N/A	N/A
impossible	word	2499	N/A	N/A
crucial	word	2215	N/A	N/A
premium	word	2190	N/A	N/A
useful	word	2180	N/A	N/A
spectacular	word	1532	N/A	N/A
magic	word	1907	N/A	N/A
nice	word	10890	N/A	N/A
never	word	27918	N/A	N/A
struggle	word	4484	N/A	N/A
struggles	word	11273	N/A	N/A
struggled	word	19471	N/A	N/A
struggling	word	8265	N/A	N/A
bad	word	19999	N/A	N/A
cold	word	2653	N/A	N/A
worst	word	15739	N/A	N/A
issue	word	14552	N/A	N/A
issues	word	12078	N/A	N/A
lack	word	10568	N/A	N/A
lacking	word	1627	N/A	N/A
problem	word	9991	N/A	N/A
problems	word	4661	N/A	N/A
poor	word	8765	N/A	N/A
poorly	word	1919	N/A	N/A
worse	word	8870	N/A	N/A
difficult	word	8941	N/A	N/A
rough	word	7081	N/A	N/A
risk	word	7981	N/A	N/A
wrong	word	6865	N/A	N/A
fail	word	1161	N/A	N/A
failed	word	5306	N/A	N/A
failure	word	1561	N/A	N/A
disappointing	word	5299	N/A	N/A
disappointment	word	1808	N/A	N/A
unable	word	3369	N/A	N/A
decline	word	3735	N/A	N/A
declining	word	1000	N/A	N/A
slump	word	3417	N/A	N/A
weak	word	3440	N/A	N/A
terrible	word	3384	N/A	N/A
quiet	word	2810	N/A	N/A
mistake	word	2718	N/A	N/A
inconsistent	word	2648	N/A	N/A
ugly	word	2532	N/A	N/A
awful	word	2349	N/A	N/A
shaky	word	1910	N/A	N/A
lazy	word	270	N/A	N/A
concern	word	5799	N/A	N/A
concerning	word	2123	N/A	N/A
offense	word	28837	N/A	N/A
offensive	word	19949	N/A	N/A
defense	word	21070	N/A	N/A
defensive	word	25070	N/A	N/A
avg	word	1342	N/A	N/A
obp	word	7149	N/A	N/A
ops	word	35703	N/A	N/A
slg	word	1550	N/A	N/A
era	word	122451	N/A	N/A
fip	word	15511	N/A	N/A
drs	word	4064	N/A	N/A
oaa	word	2114	N/A	N/A
fielding	word	5632	N/A	N/A
slugging	word	6841	N/A	N/A
hit	word	116385	N/A	N/A
hits	word	56999	N/A	N/A
run	word	114608	N/A	N/A
runs	word	133288	N/A	N/A
rbi	word	40316	N/A	N/A
single	word	32739	N/A	N/A
singles	word	4837	N/A	N/A
double	word	44027	N/A	N/A
doubles	word	14406	N/A	N/A
triple	word	49494	N/A	N/A
triples	word	3082	N/A	N/A
hr	word	14832	N/A	N/A
hrs	word	1472	N/A	N/A
homers	word	21403	N/A	N/A
walk	word	46605	N/A	N/A
walks	word	31057	N/A	N/A
strikeout	word	33045	N/A	N/A
strikeouts	word	31559	N/A	N/A
control	word	20497	N/A	N/A
command	word	8762	N/A	N/A
performance	word	22795	N/A	N/A
value	word	26095	N/A	N/A
production	word	16536	N/A	N/A
results	word	16294	N/A	N/A
streak	word	12371	N/A	N/A
history	word	18290	N/A	N/A
stuff	word	10937	N/A	N/A
slugger	word	8456	N/A	N/A
ace	word	14854	N/A	N/A
error	word	5581	N/A	N/A
hitless	word	1509	N/A	N/A
contact	word	14943	N/A	N/A
velocity	word	13893	N/A	N/A
mph	word	19809	N/A	N/A
clutch	word	3103	N/A	N/A
aggressive	word	5003	N/A	N/A
complete	word	7324	N/A	N/A
consistent	word	7645	N/A	N/A
consistency	word	3378	N/A	N/A
