person_id,position,years,team,b_avg,b_obp,b_slg,b_iso,b_ops,b_k_rate,b_hr_rate,b_clutch,b_war_162
shaw--000mat,3B,1,CHC,0.226,0.295,0.394,0.168,0.690,0.215,0.033,-0.912,3.921
smith-000dom,1B,9,NYM,0.250,0.315,0.404,0.155,0.720,0.218,0.031,-1.156,0.257
soler-000jor,OF,10,KCR,0.237,0.328,0.461,0.224,0.790,0.263,0.056,-3.446,0.926
soto--003jua,OF,8,WSN,0.282,0.417,0.531,0.250,0.948,0.173,0.063,-6.443,6.297
spring001geo,OF,10,HOU,0.268,0.353,0.480,0.212,0.833,0.196,0.053,-3.037,4.622
stanto003mic,DH,10,NYY,0.250,0.334,0.515,0.265,0.849,0.290,0.073,-4.514,3.421
story-000tre,SS,10,COL,0.265,0.329,0.490,0.226,0.819,0.280,0.050,-5.191,5.301
suarez001eug,3B,10,CIN,0.244,0.329,0.471,0.227,0.801,0.278,0.059,-1.304,2.819
suzuki001sei,OF,4,CHC,0.269,0.346,0.472,0.204,0.818,0.249,0.044,-2.856,3.374
swanso001dan,SS,10,ATL,0.251,0.318,0.414,0.163,0.732,0.244,0.035,-0.660,3.593
torres000gle,2B,8,NYY,0.264,0.337,0.433,0.169,0.770,0.197,0.040,-0.480,2.934
trout-001mik,CF,10,ANA,0.287,0.413,0.578,0.291,0.991,0.235,0.075,-7.240,8.189
tucker001kyl,OF,8,HOU,0.273,0.358,0.507,0.234,0.865,0.158,0.054,2.138,5.760
vazque001chr,C,10,BOS,0.250,0.298,0.370,0.120,0.668,0.188,0.023,-0.820,1.022
wallne000mat,OF,4,MIN,0.231,0.344,0.485,0.254,0.829,0.323,0.062,-3.481,2.712
yelich001chr,LF,10,MIL,0.284,0.376,0.480,0.197,0.857,0.223,0.044,1.494,4.555
